종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"051900","LG생활건강","KOSPI",,"451500","14500","3.32","441500","455000","441000","40604","18208665500","7051615945500","15618197"
"051905","LG생활건강우","KOSPI",,"195700","5600","2.95","191400","196000","190700","2873","559407100","410910702900","2099697"
"373220","LG에너지솔루션","KOSPI",,"389500","-3500","-0.89","390000","393000","388500","15559","6064435000","91143000000000","234000000"
"003555","LG우","KOSPI",,"61100","300","0.49","60800","61100","60800","41","2495500","184620982000","3021620"
"032640","LG유플러스","KOSPI",,"10050","-30","-0.30","10070","10070","10020","62026","622990110","4387944178050","436611361"
"011070","LG이노텍","KOSPI",,"235500","2000","0.86","234000","236500","232000","22084","5185383000","5573603698500","23667107"
"066570","LG전자","KOSPI",,"93600","-300","-0.32","94000","94000","93400","33436","3131681700","15317435390400","163647814"
"066575","LG전자우","KOSPI",,"43000","0","0.00","43150","43150","43000","1842","79346250","738997656000","17185992"
"037560","LG헬로비전","KOSPI",,"3450","40","1.17","3400","3455","3400","48470","166453170","267191684250","77446865"
"051910","LG화학","KOSPI",,"400500","-1500","-0.37","401500","402000","399000","18383","7359251500","28272233371500","70592343"
"051915","LG화학우","KOSPI",,"267000","-2500","-0.93","267000","268500","266500","1018","271935000","2052909600000","7688800"
"079550","LIG넥스원","KOSPI",,"166200","-500","-0.30","166100","166500","165000","17054","2822727800","3656400000000","22000000"
"225190","LK삼양","KOSDAQ","중견기업부","1830","5","0.27","1825","1838","1794","18799","34098542","92869645200","50748440"
"006260","LS","KOSPI",,"143500","-1000","-0.69","145600","145700","142200","59556","8561960100","4620700000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"166000","1100","0.67","164500","166500","163300","75004","12367186100","4980000000000","30000000"
"000680","LS네트웍스","KOSPI",,"4710","-10","-0.21","4700","4735","4645","106224","498266425","371162205360","78803016"
"060370","LS마린솔루션","KOSDAQ","중견기업부","11320","90","0.80","11230","11430","11180","36991","419177710","293620786240","25938232"
"417200","LS머트리얼즈","KOSDAQ","중견기업부","25350","-250","-0.98","25250","25500","25150","81507","2060131800","1714994905650","67652659"
"229640","LS에코에너지","KOSPI",,"32300","-550","-1.67","33750","34500","31500","1287555","42500525950","989183591700","30624879"
"108320","LX세미콘","KOSPI",,"74600","-300","-0.40","75100","75100","74500","7836","585651100","1213316780000","16264300"
"001120","LX인터내셔널","KOSPI",,"29100","-100","-0.34","29200","29350","29000","25352","738900000","1127916000000","38760000"
"108670","LX하우시스","KOSPI",,"43050","-50","-0.12","43000","43400","43000","1126","48580100","386058193500","8967670"
"108675","LX하우시스우","KOSPI",,"22150","100","0.45","22500","22500","22050","44","972450","22866109500","1032330"
"383800","LX홀딩스","KOSPI",,"6940","10","0.14","6920","6950","6920","3967","27506330","529387988600","76280690"
"38380K","LX홀딩스1우","KOSPI",,"9030","30","0.33","9030","9030","9030","1","9030","13231523550","1465285"
"086960","MDS테크","KOSDAQ","중견기업부","1629","0","0.00","1628","1629","1619","39112","63528668","142817342652","87671788"
"023150","MH에탄올","KOSPI",,"6190","50","0.81","6230","6230","6180","383","2370240","45673075940","7378526"
"038340","MIT","KOSDAQ","관리종목(소속부없음)","1283","0","0.00","0","0","0","0","0","33979354334","26484298"
"035420","NAVER","KOSPI",,"187600","-3300","-1.73","185900","188500","185500","319606","59761141800","30467852234400","162408594"
"160550","NEW","KOSDAQ","중견기업부","3335","45","1.37","3295","3360","3295","8989","30014555","93066863510","27906106"
"053290","NE능률","KOSDAQ","우량기업부","4635","10","0.22","4620","4665","4610","7102","32970370","76599432945","16526307"
"181710","NHN","KOSPI",,"25200","2000","8.62","23600","25200","23550","117823","2902183950","850906299600","33766123"
"060250","NHN KCP","KOSDAQ GLOBAL","우량기업부","11890","290","2.50","11790","12000","11780","238182","2834780260","477509664790","40160611"
"104200","NHN벅스","KOSDAQ","중견기업부","4290","-10","-0.23","4265","4355","4265","2343","10030470","63610189500","14827550"
"400760","NH올원리츠","KOSPI",,"3555","5","0.14","3515","3560","3515","72","255940","150021000000","42200000"
"005940","NH투자증권","KOSPI",,"12600","-10","-0.08","12600","12620","12500","42950","539497340","4126402967400","327492299"
"005945","NH투자증권우","KOSPI",,"11350","30","0.27","11340","11350","11300","4442","50348520","214185486800","18870968"
"338100","NH프라임리츠","KOSPI",,"4375","-5","-0.11","4380","4380","4375","590","2582800","81637500000","18660000"
"034310","NICE","KOSPI",,"12240","0","0.00","12240","12240","12200","771","9407840","459042558480","37503477"
"030190","NICE평가정보","KOSPI",,"11320","-90","-0.79","11420","11440","11290","12172","138138750","680418824400","60107670"
"008260","NI스틸","KOSPI",,"4750","0","0.00","4750","4785","4750","9270","44172870","135850555750","28600117"
"004250","NPC","KOSPI",,"5310","30","0.57","5280","5330","5280","7376","39151970","194983200000","36720000"
"004255","NPC우","KOSPI",,"2765","0","0.00","2765","2765","2755","1081","2985110","14599200000","5280000"
"222160","NPX","KOSDAQ","관리종목(소속부없음)","8040","0","0.00","0","0","0","0","0","79551289560","9894439"
"456040","OCI","KOSPI",,"96900","0","0.00","97200","97300","96400","1562","151354400","871182841500","8990535"
"010060","OCI홀딩스","KOSPI",,"97200","-100","-0.10","97400","97400","96400","2521","244264500","1905728666400","19606262"
